course_num,last_name,first_name,a_num,b_num,c_num,d_num,f_num,i_num,s_num,w_num,o_num,total_num
87645,Ward,Chloe,0,0,0,0,0,0,0,0,0,0
87646,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
87648,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
87649,McAlpin,Jacob,0,0,0,0,0,0,0,0,0,0
87650,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
87651,Win,Yu Yu,0,0,0,0,0,0,0,0,0,0
87652,Yan,Yu,0,0,0,0,0,0,0,0,0,0
87656,Wang,Lei,0,0,0,0,0,0,0,0,0,0
87657,Teng,Shun,0,0,0,0,0,0,0,0,0,0
87658,Yu,Huaxuan,0,0,0,0,0,0,0,0,0,0
87659,Teng,Shun,0,0,0,0,0,0,0,0,0,0
87682,Agbendeh,Lubem,0,0,0,0,0,0,0,0,0,0
87851,Todman,Aaron,0,0,0,0,0,0,0,0,0,0
87852,Daniel,Kenyon,0,0,0,0,0,0,0,0,0,0
87889,Zhao,Xue,0,0,0,0,0,0,0,0,0,0
88192,Merkler,David,0,0,0,0,0,0,0,0,0,0
88194,Merkler,David,0,0,0,0,0,0,0,0,0,0
88195,Merkler,David,0,0,0,0,0,0,0,0,0,0
88196,Merkler,David,0,0,0,0,0,0,0,0,0,0
88197,Merkler,David,0,0,0,0,0,0,0,0,0,0
88198,Merkler,David,0,0,0,0,0,0,0,0,0,0
88340,Wang,Yafeng,0,0,0,0,0,0,0,0,0,0
88341,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
88342,Astalos,Aaron,0,0,0,0,0,0,0,0,0,0
88343,Munjerin,Sefat E,0,0,0,0,0,0,0,0,0,0
88430,Bryant,Sherrisse,0,0,0,0,0,0,0,0,0,0
88431,Bryant,Sherrisse,0,0,0,0,0,0,0,0,0,0
88540,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
88541,Gu,Meng,0,0,0,0,0,0,0,0,0,0
88835,Baker,Billy,0,0,0,0,0,0,0,0,0,0
88836,Baker,Billy,0,0,0,0,0,0,0,0,0,0
88848,Kulatunga,Ushiri,0,0,0,0,0,0,0,0,0,0
88849,Kulatunga,Ushiri,0,0,0,0,0,0,0,0,0,0
89049,Shi,Xiaodong,0,0,0,0,0,0,0,0,0,0
