0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
CHM-2210L-002-L (80114),13,92.86,0,0.00,0,0.00,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-003-L (80115),13,92.86,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,7.14,0,0,14
CHM-2210L-004-L (80116),13,92.86,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-005-L (80117),12,85.71,2,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-006-L (80118),13,92.86,0,0.00,0,0.00,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-007-L (80119),13,92.86,0,0.00,0,0.00,0,0.00,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-008-L (80120),14,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-009-L (80121),11,78.57,2,14.29,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-010-L (80122),13,92.86,0,0.00,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-011-L (80123),11,78.57,2,14.29,0,0.00,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-012-L (80124),11,78.57,3,21.43,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-013-L (80125),9,64.29,3,21.43,1,7.14,0,0.00,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-014-L (80126),9,64.29,3,21.43,2,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-015-L (80127),14,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-016-L (80128),13,92.86,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,7.14,0,0,14
CHM-2210L-017-L (80129),14,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-020-L (80130),8,57.14,4,28.57,1,7.14,0,0.00,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-901-L (80131),10,71.43,2,14.29,0,0.00,0,0.00,0,0.00,1,7.14,0,0.00,0,0.00,1,7.14,0,0,14
CHM-2210L-902-L (80132),11,78.57,3,21.43,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-903-L (80133),11,78.57,2,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,7.14,0,0,14
CHM-2210L-904-L (80134),13,92.86,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-905-L (80135),11,78.57,3,21.43,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-906-L (80136),11,78.57,3,21.43,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-907-L (80137),11,78.57,0,0.00,2,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,7.14,0,0,14
CHM-2210L-908-L (80138),11,78.57,1,7.14,2,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-909-L (80139),11,78.57,3,21.43,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-3610 -001-C (80140),12,13.19,46,50.55,23,25.27,1,1.10,1,1.10,0,0.00,0,0.00,0,0.00,8,8.79,0,0,91
CHM-3610L-001-L (80141),12,85.71,2,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-4060 -001-O (80142),45,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,45
CHM-4070 -001-C (80143),19,63.33,11,36.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,30
CHM-4130C-001-L (80144),5,41.67,6,50.00,1,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,12
CHM-4410 -001-C (80145),6,8.33,18,25.00,22,30.56,9,12.50,10,13.89,0,0.00,0,0.00,0,0.00,7,9.72,0,0,72
CHM-4970 -003-Z (80146),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,9,100.00,0,0.00,0,0.00,0,0,9
CHM-6935 -001-C (80149),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,58,98.31,0,0.00,0,0.00,1,2,59
CHM-6938 -002-D (80151),4,40.00,6,60.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,10
CHM-7820 -001-Z (80161),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00,0,0.00,0,0,6
CHM-7820 -002-Z (80162),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00,0,0.00,0,0,6
MLS-4862 -001-I (80331),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00,0,0.00,0,0,6
MLS-4865 -001-I (80332),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00,0,0.00,0,0,6
CHM-2210 -901-C (80989),8,26.67,8,26.67,7,23.33,2,6.67,3,10.00,0,0.00,0,0.00,0,0.00,2,6.67,0,0,30
CHM-2210 -902-C (80990),9,30.00,10,33.33,5,16.67,5,16.67,1,3.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,30
CHM-2211 -001-C (80991),3,12.00,9,36.00,11,44.00,0,0.00,2,8.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,25
CHM-2211 -002-C (80992),13,52.00,8,32.00,3,12.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.00,0,0,25
CHM-2211 -003-C (80993),16,64.00,7,28.00,0,0.00,2,8.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,25
CHM-2211 -004-C (80994),9,36.00,6,24.00,2,8.00,5,20.00,2,8.00,0,0.00,0,0.00,0,0.00,1,4.00,0,0,25
CHM-2046 -002-C (80996),91,34.87,85,32.57,56,21.46,16,6.13,4,1.53,0,0.00,0,0.00,0,0.00,9,3.45,0,0,261
CHM-2210L-021-L (81083),14,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-022-L (81084),12,85.71,2,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2210L-023-L (81085),12,85.71,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,7.14,0,0,14
CHM-2045 -006-C (81112),117,46.06,92,36.22,30,11.81,3,1.18,4,1.57,0,0.00,0,0.00,0,0.00,8,3.15,0,0,254
CHM-3120C-001-C (81196),3,17.65,13,76.47,1,5.88,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,17
CHM-3120C-002-C (81197),2,11.11,13,72.22,3,16.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18
CHM-3120C-903-C (81198),8,44.44,7,38.89,3,16.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18
CHM-3120C-904-C (81199),4,22.22,8,44.44,4,22.22,0,0.00,1,5.56,0,0.00,0,0.00,0,0.00,1,5.56,0,0,18
CHM-7980 -012-G (81202),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,100,6
CHM-2045L-025-L (81590),21,87.50,1,4.17,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHM-2046L-001-L (81736),21,87.50,1,4.17,0,0.00,0,0.00,2,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2046L-002-L (81737),22,91.67,2,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2046L-003-L (81738),19,79.17,4,16.67,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2046L-004-L (81739),21,87.50,2,8.33,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2046L-006-L (81740),21,87.50,1,4.17,1,4.17,0,0.00,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2046L-901-L (81741),20,83.33,3,12.50,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2045L-909-L (82043),19,79.17,1,4.17,3,12.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHM-2045L-903-L (82044),19,79.17,3,12.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,8.33,0,0,24
CHM-2045L-904-L (82045),18,75.00,3,12.50,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,8.33,0,0,24
CHM-2023 -001-C (82105),1,16.67,2,33.33,0,0.00,0,0.00,1,16.67,0,0.00,0,0.00,0,0.00,2,33.33,0,0,6
CHM-2023 -001I-C (82105),2,15.38,8,61.54,2,15.38,1,7.69,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,13
CHM-2023 -002-C (82106),8,72.73,2,18.18,0,0.00,1,9.09,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,11
CHM-2023 -002I-C (82106),3,37.50,4,50.00,0,0.00,0,0.00,1,12.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0,8
CHM-2023 -003-C (82107),10,71.43,2,14.29,2,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
