course_name,course_num,last_name,first_name,a_num,a_per,b_num,b_per,c_num,c_per,d_num,d_per,f_num,f_per,i_num,i_per,s_num,s_per,u_num,u_per,w_num,w_per,o_num,o_per,total_num
CDA-3201L-004-L (89243),89243,Zhang,Yan,22,88.00,1,4.00,2,8.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,25
CDA-3201L-005-L (89244),89244,Zhang,Yan,35,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,35
CIS-4930 -003-C (89246),89246,Sun,Yu,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,10,100.00,0,0.00,0,0.00,0,0,10
COP-2512 -001-C (89343),89343,Ventura,Philip,32,51.61,18,29.03,6,9.68,4,6.45,1,1.61,0,0.00,0,0.00,0,0.00,0,0.00,1,2,62
COP-2513 -001-C (89344),89344,Gaspar,Alessio,16,21.62,16,21.62,10,13.51,10,13.51,13,17.57,0,0.00,0,0.00,0,0.00,9,12.16,0,0,74
CDA-3201 -002-C (89348),89348,Alfenas Reis,Dayane,22,27.16,35,43.21,17,20.99,6,7.41,1,1.23,0,0.00,0,0.00,0,0.00,0,0.00,0,0,81
CEN-6084 -001-C (89349),89349,Fang,Suey-Chyun,2,28.57,1,14.29,2,28.57,1,14.29,0,0.00,0,0.00,0,0.00,0,0.00,1,14.29,0,0,7
CIS-4935 -001-Z (89353),89353,Fang,Suey-Chyun,72,96.00,3,4.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,75
COP-4931 -700-O (89606),89606,Hoeke,Marilynn Carol,18,29.51,20,32.79,15,24.59,1,1.64,4,6.56,0,0.00,0,0.00,0,0.00,3,4.92,0,0,61
COP-6611 -001-C (90206),90206,Mali,Ankur,19,38.00,14,28.00,2,4.00,4,8.00,11,22.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,50
CIS-4930 -006-C (90237),90237,Woodward,Julia,13,76.47,3,17.65,1,5.88,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,17
CIS-6930 -005-C (90238),90238,Licato,John,13,86.67,2,13.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,15
CAP-5625 -001-C (90241),90241,Sun,Yu,28,49.12,12,21.05,10,17.54,1,1.75,5,8.77,0,0.00,0,0.00,0,0.00,1,1.75,0,0,57
CIS-4930 -011-C (90337),90337,Gaspar,Alessio,11,18.03,27,44.26,14,22.95,5,8.20,1,1.64,0,0.00,0,0.00,0,0.00,3,4.92,0,0,61
CIS-6930 -012-C (90338),90338,Katkoori,Srinivas,14,82.35,2,11.76,1,5.88,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,17
CAP-4662 -001-C (90441),90441,Sun,Yu,26,66.67,7,17.95,1,2.56,3,7.69,0,0.00,0,0.00,0,0.00,0,0.00,2,5.13,0,0,39
CIS-3213 -701-O (90632),90632,Gauvin Jr,William,24,30.00,37,46.25,16,20.00,1,1.25,1,1.25,0,0.00,0,0.00,0,0.00,1,1.25,0,0,80
CNT-4603 -701-O (90730),90730,Hoeke,Marilynn Carol,26,72.22,10,27.78,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,36
CIS-6930 -701-O (90746),90746,Small,Schinnel,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,47,95.92,2,4.08,0,0.00,0,0,49
COP-4538 -001-O (90806),90806,Yavuz,Attila,48,56.47,31,36.47,5,5.88,0,0.00,1,1.18,0,0.00,0,0.00,0,0.00,0,0.00,0,0,85
COT-4400 -901-C (90889),90889,Hendrix,William,27,22.31,65,53.72,15,12.40,10,8.26,2,1.65,0,0.00,0,0.00,0,0.00,2,1.65,0,0,121
CIS-4083 -001-O (91335),91335,Ventura,Philip,30,73.17,8,19.51,2,4.88,0,0.00,1,2.44,0,0.00,0,0.00,0,0.00,0,0.00,0,0,41
CEN-4020 -001-C (91337),91337,Anderson,James,63,70.79,24,26.97,1,1.12,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,1.12,0,0,89
CNT-4403 -701-O (91339),91339,Gauvin Jr,William,47,56.63,26,31.33,10,12.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,83
COP-4931 -004-C (91393),91393,Pazos Revilla,Marbin,33,82.50,2,5.00,2,5.00,0,0.00,1,2.50,0,0.00,0,0.00,0,0.00,2,5.00,0,0,40
CIS-4930 -005-C (91424),91424,Licato,John,4,26.67,3,20.00,6,40.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,13.33,0,0,15
COP-4931 -001-C (91426),91426,Liu,Yao,9,15.00,32,53.33,12,20.00,0,0.00,2,3.33,0,0.00,0,0.00,0,0.00,5,8.33,0,0,60
CGS-3303 -001-C (91940),91940,Fang,Suey-Chyun,9,9.68,35,37.63,35,37.63,6,6.45,4,4.30,0,0.00,0,0.00,0,0.00,4,4.30,0,0,93
COP-4931 -002-C (91950),91950,Anderson,James,22,41.51,18,33.96,7,13.21,3,5.66,2,3.77,0,0.00,0,0.00,0,0.00,1,1.89,0,0,53
CIS-7910 -014-Z (92055),92055,Neal,Tempestt,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,5,100.00,0,0.00,0,0.00,0,0,5
EGN-3000L-001-L (92351),92351,Anderson,James,70,77.78,13,14.44,5,5.56,0,0.00,1,1.11,0,0.00,0,0.00,0,0.00,1,1.11,0,0,90
EGN-3000L-001I-L (92351),92351,Anderson,James,7,70.00,3,30.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,10
CIS-4219 -001-C (92370),92370,Pazos Revilla,Marbin,16,28.57,30,53.57,10,17.86,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,56
CNT-4419 -001-C (92721),92721,Ligatti,Jarred,21,23.33,30,33.33,36,40.00,0,0.00,2,2.22,0,0.00,0,0.00,0,0.00,1,1.11,0,0,90
COP-2512 -002-C (92879),92879,Ventura,Philip,48,61.54,14,17.95,6,7.69,6,7.69,1,1.28,0,0.00,0,0.00,0,0.00,3,3.85,0,0,78
CAP-4621 -001-C (92983),92983,Kim,Gene,16,28.07,22,38.60,9,15.79,2,3.51,5,8.77,0,0.00,0,0.00,0,0.00,3,5.26,0,0,57
COP-2513 -002-C (93058),93058,Gaspar,Alessio,21,26.25,19,23.75,14,17.50,7,8.75,13,16.25,0,0.00,0,0.00,0,0.00,6,7.50,0,0,80
